date,total_orders,workflow_entries,login_attempts,login_successes,completed_orders,daily_revenue,conversion_rate
2024-03-23,70,37,23,4,4,10535.05,0.0571
2024-03-24,61,37,22,5,5,8364.53,0.082
2024-03-25,57,23,12,4,4,5866.88,0.0702
2024-03-26,49,25,14,2,1,3955.46,0.0204
2024-03-27,57,34,22,7,7,17940.82,0.1228
2024-03-28,61,25,17,3,2,6144.51,0.0328
2024-03-29,56,31,16,5,3,9940.09,0.0536
2024-03-30,66,43,33,5,3,9045.36,0.0455
2024-03-31,46,22,13,4,3,10292.61,0.0652
2024-04-01,67,37,23,6,5,13881.87,0.0746
2024-04-02,56,25,19,3,2,6601.91,0.0357
2024-04-03,50,33,17,2,1,593.29,0.02
2024-04-04,59,29,21,4,3,6635.64,0.0508
2024-04-05,59,32,20,9,7,17869.59,0.1186
2024-04-06,63,29,19,6,4,12378.99,0.0635
2024-04-07,53,28,18,2,2,5579.45,0.0377
2024-04-08,43,25,13,2,1,211.62,0.0233
2024-04-09,51,29,17,3,2,8673.25,0.0392
2024-04-10,64,30,19,4,4,9950.24,0.0625
2024-04-11,49,32,21,5,5,10646.14,0.102
2024-04-12,40,23,15,4,3,9504.12,0.075
2024-04-13,54,26,15,5,3,5855.67,0.0556
2024-04-14,49,24,18,3,3,7445.36,0.0612
2024-04-15,45,24,15,7,6,14731.21,0.1333
2024-04-16,62,32,20,8,6,10336.08,0.0968
2024-04-17,72,37,22,6,2,7835.68,0.0278
2024-04-18,56,22,11,4,3,7062.62,0.0536
2024-04-19,56,27,15,5,4,7877.14,0.0714
2024-04-20,57,26,19,3,3,12870.13,0.0526
2024-04-21,65,36,18,3,2,4201.44,0.0308
2024-04-22,50,28,16,3,2,6244.5,0.04
2024-04-23,42,28,15,4,4,9007.75,0.0952
2024-04-24,52,25,18,6,5,11689.26,0.0962
2024-04-25,60,33,25,9,6,14910.87,0.1
2024-04-26,56,36,26,5,4,10862.01,0.0714
2024-04-27,64,32,18,5,5,14720.95,0.0781
2024-04-28,51,26,13,2,2,5571.08,0.0392
2024-04-29,56,29,21,7,5,12887.93,0.0893
2024-04-30,44,20,13,2,2,6416.74,0.0455
2024-05-01,68,31,18,2,1,1374.79,0.0147
2024-05-02,50,24,14,6,5,14555.68,0.1
2024-05-03,51,26,16,7,5,16919.0,0.098
2024-05-04,68,35,22,5,4,6499.86,0.0588
2024-05-05,48,31,18,6,4,9981.44,0.0833
2024-05-06,40,20,13,1,1,3721.72,0.025
2024-05-07,64,36,22,4,4,11450.58,0.0625
2024-05-08,65,33,14,3,3,10227.17,0.0462
2024-05-09,61,29,21,6,6,8987.02,0.0984
2024-05-10,42,15,8,2,1,3245.5,0.0238
2024-05-11,61,27,16,6,4,16667.65,0.0656
2024-05-12,57,25,18,6,5,16855.61,0.0877
2024-05-13,53,26,17,0,0,0.0,0.0
2024-05-14,52,26,14,3,2,4113.33,0.0385
2024-05-15,65,31,17,3,3,9611.58,0.0462
2024-05-16,58,29,19,2,1,3254.58,0.0172
2024-05-17,69,36,28,5,5,9406.09,0.0725
2024-05-18,55,27,19,5,4,4423.72,0.0727
2024-05-19,49,22,15,4,4,6144.25,0.0816
2024-05-20,61,32,22,6,4,6490.71,0.0656
2024-05-21,51,26,15,4,3,9104.24,0.0588
2024-05-22,52,32,18,5,4,12936.31,0.0769
2024-05-23,49,26,13,2,0,0.0,0.0
2024-05-24,54,30,13,2,1,747.33,0.0185
2024-05-25,46,21,10,3,3,4322.69,0.0652
2024-05-26,56,27,18,1,0,0.0,0.0
2024-05-27,70,36,21,7,5,13470.64,0.0714
2024-05-28,52,26,15,2,1,1548.47,0.0192
2024-05-29,67,36,27,10,4,10701.66,0.0597
2024-05-30,52,17,13,0,0,0.0,0.0
2024-05-31,68,39,20,4,2,5277.44,0.0294
2024-06-01,69,29,20,4,3,8025.78,0.0435
2024-06-02,51,24,12,3,3,7465.67,0.0588
2024-06-03,54,34,23,4,4,12799.86,0.0741
2024-06-04,48,26,18,6,5,13068.21,0.1042
2024-06-05,67,29,20,4,4,5529.18,0.0597
2024-06-06,57,36,26,8,7,9956.32,0.1228
2024-06-07,47,23,14,4,3,8557.84,0.0638
2024-06-08,56,27,13,4,3,11054.57,0.0536
2024-06-09,52,28,16,3,3,5452.63,0.0577
2024-06-10,63,29,18,3,2,3737.93,0.0317
2024-06-11,64,21,14,1,1,1620.1,0.0156
2024-06-12,59,31,24,4,4,7609.02,0.0678
2024-06-13,48,24,16,7,6,14004.04,0.125
2024-06-14,57,32,14,3,2,4870.02,0.0351
2024-06-15,64,30,20,3,3,11685.79,0.0469
2024-06-16,66,34,23,9,5,13322.41,0.0758
2024-06-17,55,32,23,8,8,18904.58,0.1455
2024-06-18,59,29,13,2,2,866.82,0.0339
2024-06-19,55,23,12,4,3,10159.82,0.0545
2024-06-20,53,28,20,7,6,10849.71,0.1132
2024-06-21,65,34,21,3,1,2724.61,0.0154
2024-06-22,58,31,21,9,6,12114.62,0.1034
2024-06-23,55,33,19,3,1,1819.5,0.0182
2024-06-24,50,33,19,4,3,7660.25,0.06
2024-06-25,50,26,18,3,1,1737.49,0.02
2024-06-26,47,22,13,5,5,14257.1,0.1064
2024-06-27,60,30,22,5,5,13975.79,0.0833
2024-06-28,74,42,27,6,5,13054.03,0.0676
2024-06-29,49,27,20,3,3,6302.2,0.0612
