order_id,experiment,variant,enrolled_at
ORD-000369,exp1_login_modal,control,2024-06-11T02:33:02
ORD-000371,exp1_login_modal,variant_b,2024-03-30T10:40:09
ORD-000373,exp1_login_modal,control,2024-02-16T17:35:10
ORD-000379,exp1_login_modal,variant_b,2024-02-12T22:08:01
ORD-000383,exp1_login_modal,control,2024-03-14T02:25:53
ORD-000384,exp1_login_modal,variant_b,2024-06-05T11:11:20
ORD-000385,exp1_login_modal,variant_b,2024-01-27T00:55:03
ORD-000386,exp1_login_modal,control,2024-06-13T11:55:39
ORD-000393,exp1_login_modal,control,2024-04-17T04:52:33
ORD-000396,exp1_login_modal,variant_b,2024-03-01T18:19:20
ORD-000398,exp1_login_modal,variant_b,2024-03-05T01:17:01
ORD-000403,exp1_login_modal,variant_b,2024-05-28T10:04:37
ORD-000404,exp1_login_modal,variant_b,2024-01-02T18:36:08
ORD-000405,exp1_login_modal,control,2024-05-08T00:29:15
ORD-000408,exp1_login_modal,variant_b,2024-04-11T19:48:47
ORD-000409,exp1_login_modal,control,2024-06-03T08:40:18
ORD-000411,exp1_login_modal,control,2024-01-19T03:44:38
ORD-000412,exp1_login_modal,variant_b,2024-01-17T01:20:42
ORD-000415,exp1_login_modal,control,2024-02-22T15:23:40
ORD-000418,exp1_login_modal,variant_b,2024-02-28T02:43:53
ORD-000421,exp1_login_modal,variant_b,2024-03-25T20:58:44
ORD-000426,exp1_login_modal,variant_b,2024-05-18T11:19:35
ORD-000427,exp1_login_modal,control,2024-05-23T15:02:36
ORD-000428,exp1_login_modal,control,2024-01-20T20:25:58
ORD-000429,exp1_login_modal,variant_b,2024-01-21T01:22:47
ORD-000430,exp1_login_modal,variant_b,2024-01-03T09:30:41
ORD-000432,exp1_login_modal,variant_b,2024-01-27T23:02:29
ORD-000435,exp1_login_modal,control,2024-03-29T21:47:23
ORD-000438,exp1_login_modal,control,2024-01-27T10:23:09
ORD-000447,exp1_login_modal,control,2024-05-18T21:14:35
ORD-000455,exp1_login_modal,variant_b,2024-02-12T22:04:57
ORD-000456,exp1_login_modal,control,2024-01-30T06:31:20
ORD-000458,exp1_login_modal,variant_b,2024-03-07T14:48:23
ORD-000462,exp1_login_modal,variant_b,2024-04-10T04:42:21
ORD-000463,exp1_login_modal,control,2024-06-03T21:48:41
ORD-000467,exp1_login_modal,variant_b,2024-02-08T06:25:57
ORD-000468,exp1_login_modal,control,2024-04-25T22:05:08
ORD-000470,exp1_login_modal,variant_b,2024-04-24T14:23:02
ORD-000471,exp1_login_modal,variant_b,2024-04-09T04:36:59
ORD-000473,exp1_login_modal,variant_b,2024-04-17T18:04:48
ORD-000474,exp1_login_modal,variant_b,2024-01-02T20:39:43
ORD-000476,exp1_login_modal,control,2024-04-04T21:30:17
ORD-000477,exp1_login_modal,control,2024-02-23T08:54:26
ORD-000481,exp1_login_modal,variant_b,2024-04-16T02:11:26
ORD-000486,exp1_login_modal,variant_b,2024-04-29T15:28:21
ORD-000490,exp1_login_modal,control,2024-06-27T09:46:21
ORD-000491,exp1_login_modal,variant_b,2024-02-18T11:34:49
ORD-000499,exp1_login_modal,variant_b,2024-06-09T04:04:07
ORD-000506,exp1_login_modal,variant_b,2024-05-07T02:36:03
ORD-000509,exp1_login_modal,variant_b,2024-02-11T10:36:53
ORD-000511,exp1_login_modal,variant_b,2024-01-14T18:05:01
ORD-000512,exp1_login_modal,control,2024-06-20T01:42:22
ORD-000514,exp1_login_modal,variant_b,2024-03-26T11:00:43
ORD-000515,exp1_login_modal,variant_b,2024-05-13T07:37:48
ORD-000522,exp1_login_modal,variant_b,2024-04-06T02:20:38
ORD-000529,exp1_login_modal,variant_b,2024-02-23T21:05:36
ORD-000530,exp1_login_modal,control,2024-04-14T03:45:33
ORD-000534,exp1_login_modal,control,2024-01-24T04:38:41
ORD-000539,exp1_login_modal,control,2024-05-01T20:30:53
ORD-000540,exp1_login_modal,control,2024-02-02T09:43:25
ORD-000541,exp1_login_modal,variant_b,2024-05-23T20:17:05
ORD-000542,exp1_login_modal,control,2024-03-11T16:15:12
ORD-000544,exp1_login_modal,control,2024-02-13T14:19:01
ORD-000545,exp1_login_modal,variant_b,2024-04-20T23:33:02
ORD-000548,exp1_login_modal,control,2024-03-29T16:35:29
ORD-000549,exp1_login_modal,control,2024-02-17T02:31:24
ORD-000551,exp1_login_modal,control,2024-01-30T05:41:24
ORD-000560,exp1_login_modal,variant_b,2024-03-02T18:15:23
ORD-000561,exp1_login_modal,control,2024-01-22T03:51:00
ORD-000563,exp1_login_modal,control,2024-03-30T23:21:05
ORD-000565,exp1_login_modal,control,2024-03-10T01:52:53
ORD-000574,exp1_login_modal,control,2024-01-24T19:01:13
ORD-000576,exp1_login_modal,variant_b,2024-06-25T09:00:16
ORD-000577,exp1_login_modal,variant_b,2024-04-29T19:19:19
ORD-000578,exp1_login_modal,control,2024-01-18T00:48:43
ORD-000579,exp1_login_modal,control,2024-06-03T08:15:07
ORD-000581,exp1_login_modal,variant_b,2024-02-22T12:19:17
ORD-000587,exp1_login_modal,control,2024-02-04T04:41:13
ORD-000590,exp1_login_modal,variant_b,2024-04-15T06:29:01
ORD-000593,exp1_login_modal,control,2024-01-12T13:33:03
ORD-000594,exp1_login_modal,control,2024-06-16T03:00:37
ORD-000595,exp1_login_modal,variant_b,2024-01-20T14:50:38
ORD-000601,exp1_login_modal,control,2024-01-07T06:54:52
ORD-000603,exp1_login_modal,control,2024-02-16T05:08:29
ORD-000604,exp1_login_modal,control,2024-03-27T17:26:46
ORD-000605,exp1_login_modal,variant_b,2024-05-19T21:22:14
ORD-000610,exp1_login_modal,control,2024-03-02T21:19:42
ORD-000614,exp1_login_modal,control,2024-01-31T12:09:24
ORD-000616,exp1_login_modal,control,2024-02-27T17:59:14
ORD-000617,exp1_login_modal,control,2024-01-11T14:00:39
ORD-000618,exp1_login_modal,control,2024-04-03T06:29:33
ORD-000621,exp1_login_modal,variant_b,2024-06-20T22:41:42
ORD-000623,exp1_login_modal,control,2024-05-09T17:45:48
ORD-000626,exp1_login_modal,variant_b,2024-06-20T04:48:17
ORD-000630,exp1_login_modal,control,2024-06-05T23:42:00
ORD-000632,exp1_login_modal,control,2024-01-17T21:34:38
ORD-000635,exp1_login_modal,variant_b,2024-01-30T01:23:01
ORD-000637,exp1_login_modal,variant_b,2024-06-19T21:43:48
ORD-000638,exp1_login_modal,variant_b,2024-04-01T20:33:25
ORD-000652,exp1_login_modal,control,2024-05-12T06:30:09
ORD-000656,exp1_login_modal,control,2024-06-15T10:25:39
ORD-000658,exp1_login_modal,variant_b,2024-06-04T12:18:01
ORD-000660,exp1_login_modal,control,2024-02-18T22:23:56
ORD-000663,exp1_login_modal,control,2024-05-12T21:35:47
ORD-000667,exp1_login_modal,variant_b,2024-05-07T06:23:16
ORD-000671,exp1_login_modal,control,2024-04-08T12:15:30
ORD-000674,exp1_login_modal,control,2024-05-07T01:53:11
ORD-000675,exp1_login_modal,control,2024-03-13T04:09:56
ORD-000679,exp1_login_modal,control,2024-03-07T12:57:26
ORD-000682,exp1_login_modal,control,2024-01-01T21:57:59
ORD-000684,exp1_login_modal,control,2024-04-29T07:40:59
ORD-000688,exp1_login_modal,control,2024-03-01T14:27:19
ORD-000694,exp1_login_modal,control,2024-04-24T12:10:04
ORD-000698,exp1_login_modal,control,2024-03-21T22:18:53
ORD-000700,exp1_login_modal,control,2024-05-08T11:34:49
ORD-000705,exp1_login_modal,control,2024-04-16T10:30:42
ORD-000710,exp1_login_modal,variant_b,2024-01-10T17:23:26
ORD-000713,exp1_login_modal,control,2024-03-04T19:40:13
ORD-000718,exp1_login_modal,control,2024-01-21T03:20:17
ORD-000719,exp1_login_modal,variant_b,2024-04-28T16:58:20
ORD-000721,exp1_login_modal,control,2024-03-26T13:45:15
ORD-000727,exp1_login_modal,variant_b,2024-06-14T10:00:26
ORD-000728,exp1_login_modal,control,2024-02-24T00:18:22
ORD-000731,exp1_login_modal,variant_b,2024-01-20T22:21:09
ORD-000740,exp1_login_modal,control,2024-06-23T03:45:01
ORD-000745,exp1_login_modal,control,2024-04-07T21:43:51
ORD-000748,exp1_login_modal,variant_b,2024-01-21T02:35:47
ORD-000750,exp1_login_modal,control,2024-02-23T03:02:57
ORD-000757,exp1_login_modal,control,2024-05-27T17:28:06
ORD-000760,exp1_login_modal,variant_b,2024-01-21T16:11:18
ORD-000763,exp1_login_modal,variant_b,2024-01-07T06:33:31
ORD-000766,exp1_login_modal,control,2024-06-28T21:43:55
ORD-000767,exp1_login_modal,variant_b,2024-01-11T10:44:11
ORD-000774,exp1_login_modal,variant_b,2024-06-13T06:42:42
ORD-000775,exp1_login_modal,control,2024-06-29T07:43:16
ORD-000778,exp1_login_modal,variant_b,2024-04-11T02:12:04
ORD-000779,exp1_login_modal,variant_b,2024-03-08T20:20:08
ORD-000782,exp1_login_modal,variant_b,2024-05-09T21:28:45
ORD-000786,exp1_login_modal,variant_b,2024-03-27T12:26:44
ORD-000789,exp1_login_modal,variant_b,2024-06-11T06:28:53
ORD-000791,exp1_login_modal,variant_b,2024-01-05T14:41:48
ORD-000799,exp1_login_modal,control,2024-02-12T16:38:54
ORD-000802,exp1_login_modal,variant_b,2024-01-09T02:40:37
ORD-000813,exp1_login_modal,variant_b,2024-03-24T04:03:25
ORD-000815,exp1_login_modal,variant_b,2024-06-19T11:14:40
ORD-000819,exp1_login_modal,control,2024-06-22T05:30:41
ORD-000823,exp1_login_modal,variant_b,2024-01-26T23:55:54
ORD-000830,exp1_login_modal,control,2024-03-16T08:38:41
ORD-000837,exp1_login_modal,variant_b,2024-03-26T10:04:35
ORD-000840,exp1_login_modal,control,2024-05-11T02:47:49
ORD-000845,exp1_login_modal,control,2024-01-17T15:37:01
ORD-000846,exp1_login_modal,control,2024-06-10T05:46:29
ORD-000848,exp1_login_modal,variant_b,2024-06-28T02:28:17
ORD-000850,exp1_login_modal,control,2024-06-09T11:50:07
ORD-000852,exp1_login_modal,control,2024-01-19T02:17:48
ORD-000856,exp1_login_modal,variant_b,2024-01-19T23:23:37
ORD-000861,exp1_login_modal,control,2024-01-31T01:19:13
ORD-000863,exp1_login_modal,control,2024-05-26T14:25:26
ORD-000869,exp1_login_modal,variant_b,2024-05-03T11:23:59
ORD-000870,exp1_login_modal,control,2024-02-21T02:05:51
ORD-000875,exp1_login_modal,control,2024-04-29T10:59:35
ORD-000881,exp1_login_modal,variant_b,2024-02-03T23:43:16
ORD-000885,exp1_login_modal,control,2024-05-12T08:27:41
ORD-000888,exp1_login_modal,control,2024-02-18T04:57:51
ORD-000889,exp1_login_modal,variant_b,2024-06-29T20:37:15
ORD-000891,exp1_login_modal,variant_b,2024-06-18T11:16:29
ORD-000896,exp1_login_modal,variant_b,2024-06-17T16:45:22
ORD-000904,exp1_login_modal,control,2024-04-06T20:26:12
ORD-000905,exp1_login_modal,variant_b,2024-02-24T07:10:05
ORD-000906,exp1_login_modal,control,2024-05-19T23:14:36
ORD-000908,exp1_login_modal,variant_b,2024-02-04T07:02:58
ORD-000909,exp1_login_modal,control,2024-05-19T22:03:16
ORD-000910,exp1_login_modal,variant_b,2024-03-18T08:41:14
ORD-000913,exp1_login_modal,control,2024-01-04T20:26:21
ORD-000915,exp1_login_modal,control,2024-03-09T22:55:41
ORD-000922,exp1_login_modal,variant_b,2024-02-02T11:45:32
ORD-000923,exp1_login_modal,variant_b,2024-02-10T21:20:03
ORD-000926,exp1_login_modal,variant_b,2024-02-14T12:52:34
ORD-000927,exp1_login_modal,variant_b,2024-01-06T13:09:06
ORD-000932,exp1_login_modal,variant_b,2024-06-25T11:53:20
ORD-000933,exp1_login_modal,control,2024-03-21T01:00:32
ORD-000934,exp1_login_modal,control,2024-02-25T16:24:32
ORD-000935,exp1_login_modal,variant_b,2024-02-28T04:17:10
ORD-000936,exp1_login_modal,control,2024-04-16T10:51:14
ORD-000938,exp1_login_modal,control,2024-02-12T20:02:06
ORD-000940,exp1_login_modal,control,2024-03-21T04:16:17
ORD-000944,exp1_login_modal,variant_b,2024-01-18T12:20:54
ORD-000946,exp1_login_modal,variant_b,2024-01-11T21:09:27
ORD-000947,exp1_login_modal,control,2024-06-07T16:39:51
ORD-000952,exp1_login_modal,control,2024-04-11T03:41:32
ORD-000954,exp1_login_modal,control,2024-05-02T21:34:10
ORD-000957,exp1_login_modal,control,2024-02-18T07:07:47
ORD-000958,exp1_login_modal,control,2024-01-12T14:34:20
ORD-000959,exp1_login_modal,control,2024-02-15T04:20:32
ORD-000969,exp1_login_modal,control,2024-06-08T01:02:54
ORD-000972,exp1_login_modal,control,2024-02-09T05:45:23
ORD-000978,exp1_login_modal,control,2024-04-12T17:24:56
ORD-000979,exp1_login_modal,variant_b,2024-01-19T20:36:30
ORD-000992,exp1_login_modal,control,2024-01-02T06:36:46
ORD-000994,exp1_login_modal,control,2024-01-31T01:01:23
ORD-000995,exp1_login_modal,control,2024-02-15T05:49:53
ORD-000996,exp1_login_modal,variant_b,2024-05-22T13:55:38
ORD-001003,exp1_login_modal,control,2024-04-11T19:48:12
ORD-001006,exp1_login_modal,variant_b,2024-03-24T20:57:58
ORD-001007,exp1_login_modal,control,2024-04-16T10:34:31
ORD-001008,exp1_login_modal,variant_b,2024-05-27T23:19:50
ORD-001011,exp1_login_modal,control,2024-01-18T09:32:28
ORD-001014,exp1_login_modal,variant_b,2024-05-01T00:14:21
ORD-001022,exp1_login_modal,control,2024-02-19T14:30:46
ORD-001028,exp1_login_modal,control,2024-02-08T14:49:32
ORD-001030,exp1_login_modal,variant_b,2024-05-24T13:06:43
ORD-001031,exp1_login_modal,variant_b,2024-04-07T08:00:04
ORD-001033,exp1_login_modal,control,2024-06-23T05:08:24
ORD-001049,exp1_login_modal,control,2024-01-27T00:53:20
ORD-001050,exp1_login_modal,variant_b,2024-04-05T10:18:08
ORD-001054,exp1_login_modal,variant_b,2024-03-24T00:33:14
ORD-001057,exp1_login_modal,control,2024-04-11T02:24:02
ORD-001061,exp1_login_modal,control,2024-03-30T14:02:01
ORD-001063,exp1_login_modal,control,2024-01-22T23:25:04
ORD-001064,exp1_login_modal,variant_b,2024-03-21T07:19:33
ORD-001065,exp1_login_modal,variant_b,2024-06-20T08:58:25
ORD-001067,exp1_login_modal,variant_b,2024-05-03T02:59:29
ORD-001079,exp1_login_modal,variant_b,2024-01-10T11:58:41
ORD-001081,exp1_login_modal,control,2024-06-27T17:18:12
ORD-001085,exp1_login_modal,control,2024-03-03T16:27:31
ORD-001094,exp1_login_modal,control,2024-05-17T14:15:18
ORD-001098,exp1_login_modal,variant_b,2024-04-16T19:09:21
ORD-001101,exp1_login_modal,control,2024-06-26T21:37:45
ORD-001106,exp1_login_modal,variant_b,2024-01-29T23:48:40
ORD-001109,exp1_login_modal,variant_b,2024-05-17T20:05:39
ORD-001113,exp1_login_modal,control,2024-02-06T22:27:02
ORD-001118,exp1_login_modal,control,2024-03-05T17:14:34
ORD-001120,exp1_login_modal,control,2024-03-03T07:24:39
ORD-001121,exp1_login_modal,variant_b,2024-02-22T22:39:38
ORD-001122,exp1_login_modal,variant_b,2024-04-15T08:22:01
ORD-001123,exp1_login_modal,control,2024-02-03T06:11:57
ORD-001125,exp1_login_modal,variant_b,2024-01-17T17:20:46
ORD-001126,exp1_login_modal,control,2024-04-29T16:14:15
ORD-001130,exp1_login_modal,variant_b,2024-04-01T08:54:09
ORD-001132,exp1_login_modal,control,2024-03-29T00:27:07
ORD-001133,exp1_login_modal,control,2024-05-29T02:52:00
ORD-001135,exp1_login_modal,variant_b,2024-04-13T10:46:27
ORD-001136,exp1_login_modal,variant_b,2024-03-15T12:42:51
ORD-001139,exp1_login_modal,control,2024-06-11T11:31:45
ORD-001140,exp1_login_modal,control,2024-02-04T05:01:49
ORD-001142,exp1_login_modal,variant_b,2024-01-18T13:54:51
ORD-001143,exp1_login_modal,control,2024-05-27T00:14:16
ORD-001148,exp1_login_modal,control,2024-06-14T12:57:43
ORD-001150,exp1_login_modal,variant_b,2024-06-17T02:21:34
ORD-001151,exp1_login_modal,variant_b,2024-03-19T20:14:57
ORD-001154,exp1_login_modal,variant_b,2024-01-03T06:04:21
ORD-001157,exp1_login_modal,variant_b,2024-05-01T00:32:54
ORD-001158,exp1_login_modal,variant_b,2024-02-13T20:01:44
ORD-001159,exp1_login_modal,control,2024-05-18T06:45:58
ORD-001160,exp1_login_modal,control,2024-04-20T07:46:08
ORD-001165,exp1_login_modal,variant_b,2024-04-29T00:58:09
ORD-001169,exp1_login_modal,variant_b,2024-04-22T06:19:57
ORD-001170,exp1_login_modal,control,2024-01-06T07:13:05
ORD-001171,exp1_login_modal,control,2024-02-18T22:38:33
ORD-001172,exp1_login_modal,control,2024-04-27T06:00:44
ORD-001175,exp1_login_modal,control,2024-06-08T13:30:37
ORD-001178,exp1_login_modal,control,2024-01-11T04:46:33
ORD-001184,exp1_login_modal,control,2024-02-22T11:48:39
ORD-001187,exp1_login_modal,variant_b,2024-04-16T08:03:34
ORD-001188,exp1_login_modal,control,2024-03-09T06:11:06
ORD-001192,exp1_login_modal,variant_b,2024-06-22T23:40:12
ORD-001194,exp1_login_modal,control,2024-02-19T23:16:31
ORD-001198,exp1_login_modal,variant_b,2024-05-29T06:26:08
ORD-001201,exp1_login_modal,variant_b,2024-05-09T01:17:15
ORD-001204,exp1_login_modal,variant_b,2024-04-14T21:10:56
ORD-001206,exp1_login_modal,variant_b,2024-05-12T09:35:05
ORD-001209,exp1_login_modal,variant_b,2024-04-17T16:02:34
ORD-001212,exp1_login_modal,variant_b,2024-03-16T11:47:16
ORD-001213,exp1_login_modal,variant_b,2024-01-04T04:30:53
ORD-001225,exp1_login_modal,variant_b,2024-04-25T03:58:39
ORD-001226,exp1_login_modal,control,2024-05-15T04:58:24
ORD-001231,exp1_login_modal,control,2024-05-14T10:37:25
ORD-001234,exp1_login_modal,variant_b,2024-03-08T13:06:54
ORD-001236,exp1_login_modal,control,2024-02-12T13:54:03
ORD-001239,exp1_login_modal,variant_b,2024-02-25T08:29:49
ORD-001240,exp1_login_modal,variant_b,2024-01-09T09:52:26
ORD-001242,exp1_login_modal,variant_b,2024-05-20T01:58:55
ORD-001245,exp1_login_modal,control,2024-06-22T02:03:45
ORD-001248,exp1_login_modal,variant_b,2024-02-09T06:22:15
ORD-001249,exp1_login_modal,control,2024-06-14T08:58:58
ORD-001253,exp1_login_modal,control,2024-04-24T20:58:00
ORD-001254,exp1_login_modal,variant_b,2024-03-04T13:18:34
ORD-001258,exp1_login_modal,control,2024-04-06T04:11:44
ORD-001265,exp1_login_modal,control,2024-02-27T14:12:34
ORD-001268,exp1_login_modal,variant_b,2024-06-21T10:16:37
ORD-001273,exp1_login_modal,control,2024-03-03T05:28:10
ORD-001274,exp1_login_modal,variant_b,2024-03-13T09:26:17
ORD-001279,exp1_login_modal,variant_b,2024-01-22T05:40:38
ORD-001283,exp1_login_modal,control,2024-05-05T04:23:21
ORD-001285,exp1_login_modal,control,2024-03-27T11:02:41
ORD-001287,exp1_login_modal,control,2024-01-29T19:18:24
ORD-001289,exp1_login_modal,variant_b,2024-02-01T07:30:05
ORD-001290,exp1_login_modal,variant_b,2024-03-12T18:47:49
ORD-001293,exp1_login_modal,variant_b,2024-05-29T05:33:15
ORD-001300,exp1_login_modal,control,2024-01-18T22:59:35
ORD-001301,exp1_login_modal,variant_b,2024-02-08T00:06:04
ORD-001302,exp1_login_modal,control,2024-04-09T09:06:09
ORD-001304,exp1_login_modal,control,2024-03-12T18:36:01
ORD-001309,exp1_login_modal,variant_b,2024-04-26T02:34:56
ORD-001312,exp1_login_modal,variant_b,2024-04-17T22:16:48
ORD-001315,exp1_login_modal,variant_b,2024-02-13T14:20:24
ORD-001319,exp1_login_modal,variant_b,2024-04-22T19:57:45
ORD-001326,exp1_login_modal,control,2024-05-26T03:30:11
ORD-001331,exp1_login_modal,variant_b,2024-04-07T17:56:03
ORD-001333,exp1_login_modal,control,2024-03-22T00:58:28
ORD-001334,exp1_login_modal,variant_b,2024-03-08T14:46:32
ORD-001339,exp1_login_modal,variant_b,2024-01-16T02:16:21
ORD-001342,exp1_login_modal,variant_b,2024-05-09T15:10:41
ORD-001346,exp1_login_modal,variant_b,2024-02-16T22:58:28
ORD-001349,exp1_login_modal,control,2024-06-28T11:14:01
ORD-001351,exp1_login_modal,control,2024-03-14T17:08:03
ORD-001352,exp1_login_modal,control,2024-01-25T00:05:22
ORD-001354,exp1_login_modal,variant_b,2024-01-23T11:18:23
ORD-001357,exp1_login_modal,variant_b,2024-05-11T20:58:49
ORD-001360,exp1_login_modal,control,2024-01-13T13:34:20
